index_num,mobiles,Link,img_links,best_buy_links,Summary, k_Display, k_Processor,  k_Front Camera,k_Rear Camera,k_RAM,k_Storage,k_Battery_Capacity,k_OS,design,display,software,performance,battery life,camera,value for money,b_Price,Alternate names,Brand,Model,Price in India,Release date,Launched in India,Form factor,Thickness,Body type,Dimensions (mm),Weight,IP rating,Battery capacity (mAh),Removable battery,Fast charging,Wireless charging,Colours,SAR value,Refresh Rate,Screen size (inches),Touchscreen,Resolution,Protection type,Aspect ratio,Pixels per inch (PPI),Processor,Processor make,RAM,Internal storage,Expandable storage,Expandable storage type,Expandable storage up to (GB),Dedicated microSD slot,Rear camera,No. of Rear Cameras,Rear autofocus,Rear flash,Front camera,No. of Front Cameras,Front autofocus,Front flash,Pop-Up Camera,Operating system,Skin,Face unlock,3D face recognition,Fingerprint sensor,In-Display Fingerprint Sensor,Compass/ Magnetometer,Proximity sensor,Accelerometer,Ambient light sensor,Gyroscope,Barometer,Temperature sensor,Wi-Fi,Wi-Fi standards supported,GPS,Bluetooth,NFC,Infrared,USB OTG,USB Type-C,Micro-USB,Lightning,Headphones,FM,Number of SIMs,Wi-Fi Direct,Mobile High-Definition Link (MHL),Active 4G on both SIM cards,SIM 1 SIM Type,GSM/CDMA,3G,4G/ LTE,5G,Supports 4G in India (Band 40),SIM 2 SIM Type,Pros,Cons
11,OnePlus 13,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dps7fb4j&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/oneplus-13-630x800-1730372404.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dps7fb4j&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The OnePlus 13 has a brand-new design that’s now available in a vegan leather option as well. Accompanying the new design are new cases with magnets in place to hold the new wireless charging accessories. The phone is both IP68 and IP69 certified for dust and water resistance.
OnePlus has a new quad-curved screen for its mostly flat display, which is a departure from the curved edge displays on previous models. The phone runs OxygenOS 15, which is based on Android 15 and comes with many new and useful AI-enabled features.
The phone offers plenty of raw performance for regular use and demanding tasks like gaming and camera usage thanks to its new 3nm processor. The camera performance is unparalleled at this price point, and the same holds true for video recording.
The high-capacity battery life easily lasts beyond a day of casual use and also charges up faster than most premium devices using both wired and wireless sources.",6.82-inch (1440x3168),,32MP,50MP + 50MP + 50MP,"12GB, 16GB, 24GB","256GB, 512GB, 1TB",6000mAh,Android 15,9.1,8.9,9.1,9.4,8.7,9.2,,69998,,OnePlus,13,69998,7th January 2025,,,,Glass,162.90 x 76.50 x 8.90,210,IP69,6000,,100W Fast Charging,Yes,"Arctic Dawn, Black Eclipse, Midnight Ocean",,120 Hz,6.82,Yes,1440x3168 pixels,,,,,Snapdragon 8 Elite,"12GB, 16GB, 24GB","256GB, 512GB, 1TB",No,No,,No,50MP + 50MP + 50MP,3,,,32MP,1,,,,Android 15,ColorOS 15,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,802.11 a/b/g/n/ac/ax,Yes,"Yes, v 5.40",Yes,Yes,,Yes,,,,,2,,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
12,iPhone 16 Plus,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dgj6js1d&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/iphone-16-plus-642x800-1725909623.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dgj6js1d&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The iPhone 16 Plus is for those who want the latest iPhone under a lakh but do not want a smaller screen and compromise on the battery front. The 16 Plus should appeal to heavy multimedia users who love to be on their phones while on the go. The battery performance is amazing, and this one can handle anything and everything thrown at it during everyday use. The cameras are solid and overall, the 16 Plus is the iPhone to consider this year under a lakh, which can offer pro features without actually buying one.",6.70-inch (1290x2796),Apple A18,12MP,48MP + 12MP,8GB,"128GB, 256GB, 512GB",,iOS 18,9,8.8,9.9,9.3,7.3,9.1,,84900,,Apple,iPhone 16 Plus,84900,9th September 2024,,Touchscreen,,,160.90 x 77.80 x 7.80,199,IP68,,,,Yes,"Black, White, Pink, Teal, Ultramarine",,60 Hz,6.7,Yes,1290x2796 pixels,,,,hexa-core,Apple A18,8GB,"128GB, 256GB, 512GB",No,No,,,48MP + 12MP,2,,,12MP,1,,,,iOS 18,,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,802.11 b/g/n/ac/ax,Yes,"Yes, v 5.30",Yes,No,,Yes,,,,,2,,,,eSIM,,,,Yes,Yes,eSIM,,
13,iPhone 16,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dgj7tgdr&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/iphone-16-650x800-1725909609.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dgj7tgdr&pgtyp=product&pgcat=Mobiles&clicked_on=13,"iPhone 16 mobile was launched on 9th September 2024. The phone comes with a 60 Hz refresh rate 6.10-inch touchscreen display offering a resolution of  1179x2556 pixels at a pixel density of 460 pixels per inch (ppi). iPhone 16 is powered by  a hexa-core Apple A18 processor. It comes with 8GB of RAM. The iPhone 16 supports wireless charging. As far as the cameras are concerned, the iPhone 16 on the rear packs a dual camera setup featuring a 48-megapixel (f/1.6) primary  camera, and  a 12-megapixel (f/2.2, ultra wide-angle)  camera. It has a single front camera setup for selfies, featuring  a 12-megapixel sensor with an f/1.9 aperture.iPhone 16 is based on iOS 18 and packs 128GB, 256GB, 512GB of inbuilt storage. The iPhone 16 is a dual-SIM (GSM and GSM) mobile that accepts Nano-SIM and Nano-SIM cards. The iPhone 16 measures 147.60 x 71.60 x 7.80mm (height x width x thickness)  and weighs 170.00 grams. It was launched in Black, White, Pink, Teal, and  Ultramarine colours. It features an IP68 rating for dust and water protection. Connectivity options on the iPhone 16 include Wi-Fi  802.11 b/g/n/ac/ax, GPS, Bluetooth v5.30, NFC, USB Type-C, 3G, 4G (with support for Band 40 used by some LTE networks in India) , and  5G with active 4G on both SIM cards. Sensors on the  phone include  accelerometer,  ambient light sensor,  barometer,  gyroscope,  proximity sensor, and  compass/ magnetometer.As of 22nd January 2025, iPhone 16 price in India starts at Rs. 74,900.",6.10-inch (1179x2556),Apple A18,12MP,48MP + 12MP,8GB,"128GB, 256GB, 512GB",,iOS 18,8.9,8.7,9.9,9.3,6.5,9,,74900,,Apple,iPhone 16,74900,9th September 2024,,Touchscreen,,,147.60 x 71.60 x 7.80,170,IP68,,,,Yes,"Black, White, Pink, Teal, Ultramarine",,60 Hz,6.1,Yes,1179x2556 pixels,,,,hexa-core,Apple A18,8GB,"128GB, 256GB, 512GB",No,No,,,48MP + 12MP,2,,,12MP,1,,,,iOS 18,,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,802.11 b/g/n/ac/ax,Yes,"Yes, v 5.30",Yes,No,,Yes,,,,,2,,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
14,Samsung Galaxy S24,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dh6wv827&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/Samsung-Galaxy-S24-big-656x800-1732712032.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dh6wv827&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Samsung Galaxy S24 mobile was launched on 17th January 2024. The phone comes with a 120 Hz refresh rate 6.20-inch touchscreen display (FHD+). The display sports Gorilla Glass for protection. Samsung Galaxy S24 is powered by  an octa-core processor. It comes with 8GB of RAM. The Samsung Galaxy S24 runs Android 14 and  is powered by a 4000mAh non-removable battery.  The Samsung Galaxy S24 supports wireless charging, as well as proprietary fast charging. As far as the cameras are concerned, the Samsung Galaxy S24 on the rear packs a 50-megapixel (f/1.8) primary  camera;  a 12-megapixel (f/2.2)  camera, and  a 10-megapixel (f/2.4)  camera. It has a single front camera setup for selfies, featuring  a 12-megapixel sensor.The Samsung Galaxy S24 runs One UI 6.1 is based on Android 14 and packs 128GB, 256GB, 512GB of inbuilt storage. The Samsung Galaxy S24 is a dual-SIM (GSM and GSM) mobile that accepts Nano-SIM and Nano-SIM cards. The Samsung Galaxy S24 measures 147.00 x 70.60 x 7.60mm (height x width x thickness)  and weighs 168.00 grams. It was launched in Amber Yellow, Cobalt Violet, Marble Gray, and  Onyx Black colours. It features an IP68 rating for dust and water protection. Connectivity options on the Samsung Galaxy S24 include Wi-Fi  802.11 ax, GPS, Bluetooth v5.30, NFC, USB Type-C, Wi-Fi Direct, 3G, 4G (with support for Band 40 used by some LTE networks in India) , and  5G with active 4G on both SIM cards. Sensors on the  phone include  accelerometer,  ambient light sensor,  barometer,  compass/ magnetometer,  gyroscope,  in-display fingerprint sensor,  proximity sensor, and  fingerprint sensor.As of 22nd January 2025, Samsung Galaxy S24 price in India starts at Rs. 50,580.",6.20-inch,octa-core,12MP,50MP + 12MP + 10MP,8GB,"128GB, 256GB, 512GB",4000mAh,Android 14,8.8,8.6,9.5,9.2,6.6,8.9,,50580,,Samsung,Galaxy S24,50580,17th January 2024,,Touchscreen,,,147.00 x 70.60 x 7.60,168,IP68,4000,,Proprietary,Yes,"Amber Yellow, Cobalt Violet, Marble Gray, Onyx Black",,120 Hz,6.2,Yes,,Gorilla Glass,,,octa-core,,8GB,"128GB, 256GB, 512GB",No,,,No,50MP + 12MP + 10MP,,,,12MP,1,,,,Android 14,One UI 6.1,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,802.11 ax,Yes,"Yes, v 5.30",Yes,,,Yes,,,,,2,Yes,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
15,Realme GT 7 Pro,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dmfd8l7j&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/realme-gt-7-pro-realme-db-660x800-1730714764.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dmfd8l7j&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The Realme GT 7 Pro has an IP69-rated design that is made of metal and glass. Both the front and rear glass panels have 3D-curved edges on all four sides, making it comfortable to hold given its large footprint.
The phone processor offers more than enough raw performance for casual use and can handle any game you can throw at it without breaking sweat. The software experience is buttery smooth and has been updated to the latest version of Android.
Camera performance is good for its price tag, but this performance is mainly limited to its primary and telephoto cameras. The ultrawide camera is subpar, and the video recording quality is average for a smartphone in this price bracket.
Battery life, given the battery’s massive capacity, easily lasts two days with regular use. Charging speed is speedy even for a flagship device. However, this phone lacks wireless charging.",6.78-inch,,16MP,50MP + 8MP + 50MP,"12GB, 16GB","256GB, 512GB",5800mAh,Android 15,8.7,8.5,8.8,9.1,8.4,8.8,,54998,,Realme,GT 7 Pro,54998,26th November 2024,,,,,,,IP69,5800,,120W HyperCharge,,"Mars Orange, Galaxy Grey",,120 Hz,6.78,Yes,,,,,,Snapdragon 8 Elite,"12GB, 16GB","256GB, 512GB",,,,,50MP + 8MP + 50MP,3,,,16MP,1,,,,Android 15,Realme UI 6.0,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,802.11 a/b/g/n/ac/ax,Yes,"Yes, v 5.40",Yes,Yes,,Yes,,,,,,,,,,,,,,,,,
16,Vivo X200,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0drdcw9z9&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/vivo-X200-db-1200x675-1728968818.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0drdcw9z9&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Vivo X200 mobile was launched on 14th October 2024. The phone comes with a 120 Hz refresh rate 6.67-inch touchscreen display offering a resolution of  2800x1260 pixels and an aspect ratio of 20:9. Vivo X200 is powered by  a 3.6 MHz octa-core MediaTek Dimensity 9400 processor that features 1 core clocked at 3.626 MHz, 3 cores clocked at 3.3 MHz and  4 cores clocked at 2.4 MHz. It comes with 12GB, 16GB of RAM. The Vivo X200 runs Android 15 and  is powered by a 5800mAh non-removable battery.  The Vivo X200 supports 90W Fast Charging fast charging. As far as the cameras are concerned, the Vivo X200 on the rear packs a triple camera setup featuring a 50-megapixel (f/1.57) primary  camera;  a 50-megapixel (f/2.57, telephoto)  camera, and  a 50-megapixel (f/2.0, ultra wide-angle)  camera. It has a single front camera setup for selfies, featuring  a 32-megapixel sensor with an f/2.0 aperture.The Vivo X200 runs Origin OS 5 is based on Android 15 and packs 256GB, 512GB of inbuilt storage. The Vivo X200 is a dual-SIM mobile that accepts Nano-SIM and eSIM cards. The Vivo X200 measures 160.27 x 74.81 x 7.99mm (height x width x thickness)  and weighs 197.00 grams. It was launched in Carbon Black, Titanium Grey, Moonlight White, and  Sapphire Blue colours. It features an IP69 rating for dust and water protection. Connectivity options on the Vivo X200 include Wi-Fi 7, Wi-Fi,  Bluetooth v5.40, USB Type-C, 4G , and  5G. Sensors on the  phone include  accelerometer,  ambient light sensor,  compass/ magnetometer,  gyroscope,  proximity sensor,  temperature sensor, and  fingerprint sensor.As of 22nd January 2025, Vivo X200 price in India starts at Rs. 56,990.",6.67-inch (2800x1260),MediaTek Dimensity 9400,32MP,50MP + 50MP + 50MP,"12GB, 16GB","256GB, 512GB",5800mAh,Android 15,8.6,8.4,8.7,9,8.3,8.7,,56990,,Vivo,X200,56990,14th October 2024,,Touchscreen,,,160.27 x 74.81 x 7.99,197,IP69,5800,,90W Fast Charging,No,"Carbon Black, Titanium Grey, Moonlight White, Sapphire Blue",,120 Hz,6.67,Yes,2800x1260 pixels,,20:09,,3.6 MHz octa-core (1x3.626 MHz + 3x3.3 MHz + 4x2.4 MHz),MediaTek Dimensity 9400,"12GB, 16GB","256GB, 512GB",,,,,50MP + 50MP + 50MP,3,,Yes,32MP,1,,,,Android 15,Origin OS 5,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,"Yes, v 5.40",,,,Yes,,,,,2,,,,eSIM,,,,Yes,,eSIM,,
17,OnePlus 13R,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh8evkzhte7a32&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/oneplus-13r-658x800-1736267136.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh8evkzhte7a32&pgtyp=product&pgcat=Mobiles&clicked_on=13,"OnePlus 13R mobile was launched on 7th January 2025. The phone comes with a 6.78-inch touchscreen display offering a resolution of  2780x1264 pixels (1.5K) at a pixel density of 450 pixels per inch (ppi). OnePlus 13R is powered by  an octa-core Snapdragon 8 Gen 3 processor. It comes with 12GB, 16GB of RAM. The OnePlus 13R runs Android 15 and  is powered by a 6000mAh battery.  The OnePlus 13R supports 80W Fast Charging fast charging. As far as the cameras are concerned, the OnePlus 13R on the rear packs a triple camera setup featuring a 50-megapixel (f/1.8) primary  camera;  a 50-megapixel (f/2.0, ultra wide-angle)  camera, and  an 8-megapixel (f/2.2, macro)  camera. It has a single front camera setup for selfies, featuring  a 16-megapixel sensor with an f/2.4 aperture.The OnePlus 13R runs OxygenOS 15.0 is based on Android 15 and packs 256GB, 512GB of inbuilt storage. The OnePlus 13R is a dual-SIM mobile that accepts Nano-SIM and Nano-SIM cards. The OnePlus 13R measures 161.72 x 75.77 x 8.02mm (height x width x thickness)  and weighs 207.00 grams. It was launched in Astral Trail and  Nebula Noir colours. It features an IP65 rating for dust and water protection. It bears a metal body.  Connectivity options on the OnePlus 13R include Wi-Fi 7, Wi-Fi  802.11 a/b/g/n, GPS, Bluetooth v5.40, NFC, USB Type-C, 3G, 4G , and  5G with active 4G on both SIM cards. Sensors on the  phone include  accelerometer,  ambient light sensor,  compass/ magnetometer,  gyroscope,  proximity sensor,  temperature sensor, and  in-display fingerprint sensor.As of 22nd January 2025, OnePlus 13R price in India starts at Rs. 42,969.",6.78-inch (2780x1264),Snapdragon 8 Gen 3,16MP,50MP + 50MP + 8MP,"12GB, 16GB","256GB, 512GB",6000mAh,Android 15,8.5,8.3,9,8.9,8.8,8.6,,42969,,OnePlus,13R,42969,7th January 2025,,Touchscreen,,Metal,161.72 x 75.77 x 8.02,207,IP65,6000,,80W Fast Charging,No,"Astral Trail, Nebula Noir",,,6.78,Yes,2780x1264 pixels,,,,octa-core,Snapdragon 8 Gen 3,"12GB, 16GB","256GB, 512GB",No,,,,50MP + 50MP + 8MP,3,,LED,16MP,1,,,,Android 15,OxygenOS 15.0,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,802.11 a/b/g/n,Yes,"Yes, v 5.40",Yes,,,Yes,,,,,2,,,,Nano-SIM,,,,Yes,,Nano-SIM,,
18,Motorola Edge 50 Ultra,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0d7xx1r9d&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/motorola-edge-50-ultra-2-624x800-1719302118.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0d7xx1r9d&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Motorola Edge 50 Ultra mobile was launched on 18th June 2024. The phone comes with a 144 Hz refresh rate 6.70-inch touchscreen display offering a resolution of  1220x2712 pixels (1.5K) at a pixel density of 446 pixels per inch (ppi) and an aspect ratio of 20:9. The display sports Gorilla Glass Victus for protection. Motorola Edge 50 Ultra is powered by  an octa-core Qualcomm Snapdragon 8s Gen 3 processor. It comes with 12GB of RAM. The Motorola Edge 50 Ultra runs Android 14 and  is powered by a 4500mAh non-removable battery.  The Motorola Edge 50 Ultra supports wireless charging, as well as 125W Fast Charging fast charging. As far as the cameras are concerned, the Motorola Edge 50 Ultra on the rear packs a triple camera setup featuring a 50-megapixel primary  camera;  a 50-megapixel  camera, and  a 64-megapixel  camera. It has a single front camera setup for selfies, featuring  a 50-megapixel sensor.The Motorola Edge 50 Ultra runs Hello UI is based on Android 14 and packs 512GB of inbuilt storage. The Motorola Edge 50 Ultra is a dual-SIM mobile. The Motorola Edge 50 Ultra measures 161.09 x 72.38 x 8.59mm (height x width x thickness)  and weighs 197.00 grams. It was launched in Forest Grey, Nordic Wood, and  Peach Fuzz colours. It features an IP68 rating for dust and water protection. It bears a wood body.  Connectivity options on the Motorola Edge 50 Ultra include Wi-Fi  802.11 a/b/g/n/ax, GPS, Bluetooth v5.40, NFC, and  USB Type-C. Sensors on the  phone include  accelerometer,  ambient light sensor,  barometer,  compass/ magnetometer,  gyroscope,  proximity sensor, and  in-display fingerprint sensor. The Motorola Edge 50 Ultra supports     face unlock.As of 22nd January 2025, Motorola Edge 50 Ultra price in India starts at Rs. 48,700.",6.70-inch (1220x2712),Qualcomm Snapdragon 8s Gen 3,50MP,50MP + 50MP + 64MP,12GB,512GB,4500mAh,Android 14,8.4,8.2,8.5,8.8,7.3,8.5,,48700,,Motorola,Edge 50 Ultra,48700,18th June 2024,,Touchscreen,,Wood,161.09 x 72.38 x 8.59,197,IP68,4500,,125W Fast Charging,Yes,"Forest Grey, Nordic Wood, Peach Fuzz",,144 Hz,6.7,Yes,1220x2712 pixels,Gorilla Glass Victus,20:09,,octa-core,Qualcomm Snapdragon 8s Gen 3,12GB,512GB,No,,,No,50MP + 50MP + 64MP,3,,,50MP,1,,,,Android 14,Hello UI,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,802.11 a/b/g/n/ax,Yes,"Yes, v 5.40",Yes,No,,Yes,,,,,2,,,,,,,,,,,,
19,Google Pixel 8a,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobgyq2mnhzwxrny&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/pixel-8a-db-709x800-1715088176.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobgyq2mnhzwxrny&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The Pixel 8a has a fresh new design that will remind many of the premium offerings in Google’s smartphone lineup. Its design still uses a plastic back but now has a more premium feel thanks to its soft, frosted finish.

The phone also offers a solid IP67 rating for dust and water resistance. Its Tensor G3 brings plenty of new AI features once reserved for the premium Pixels to the A series. Performance is still not its strong point, but it offers decent performance for everyday app usage.

Still, the camera performance is pretty solid, and the same can be said about the rear camera’s low-light performance, which works well on both primary and ultrawide cameras.

Battery life is not great but will last most users a day. Charging speeds are still quite slow and the same applies to the Qi standard wireless charging the phone offers.",6.10-inch (1080x2400),,13MP,64MP + 13MP,8GB,"128GB, 256GB",4492mAh,Android 14,8.3,8.1,9.4,8.7,7.4,8.8,,37999,,Google,Pixel 8a,37999,7th May 2024,,Touchscreen,,,152.10 x 72.70 x 8.90,188,IP67,4492,,Proprietary,Yes,"Obsidian, Porcelain, Bay, Aloe",,,6.1,Yes,1080x2400 pixels,Corning Gorilla Glass 3,20:09,,,Google Tensor G3,8GB,"128GB, 256GB",,,,,64MP + 13MP,2,,,13MP,,,,,Android 14,Pixel UI,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,802.11 a/b/g/n/ax,,"Yes, v 5.30",,,,Yes,,,,,,,,,,,,,,,,,
20,Nothing Phone 2a Plus,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dc8bfb68&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/Nothing-Phone-2a-Plus-DB-709x800-1722417097.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dc8bfb68&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The Nothing Phone 2a Plus is carved out from the skin as Nothing Phone 2a. The device offers the same Glyph interface, which is interesting to use and offers a transparent back panel for a unique design element. The handset also has an updated processor that performs well at this price segment. The Nothing Phone 2a Plus also brings a clean user interface that definitely stands out from the rest of the competition. The camera capabilities are good, and you also get some good battery life. That said, the cameras offer better performance as compared to the Nothing Phone 2a, but it still needs some improvements. So, if you are looking for a mid-range Nothing phone with some improvements, you can consider Nothing Phone 2a Plus.",6.70-inch (1080x2412),MediaTek Dimensity 7350 Pro,50MP,50MP + 50MP,"8GB, 12GB",256GB,5000mAh,Android 14,8.8,8,8.8,8.6,7.5,8.4,,23942,,Nothing,Phone 2a Plus,23942,31st July 2024,,Touchscreen,,,161.70 x 76.30 x 8.50,190,IP54,5000,,Proprietary,No,"Black, Grey",,,6.7,Yes,1080x2412 pixels,,,,octa-core,MediaTek Dimensity 7350 Pro,"8GB, 12GB",256GB,,microSD,1TB,,50MP + 50MP,2,,,50MP,1,,,,Android 14,Nothing OS 2.6,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,802.11 a/b/g/n/ac,Yes,"Yes, v 5.30",Yes,,,Yes,,,,,,,,,,,,,,,,,
21,OnePlus Nord CE 4,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0cx58mtnn&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/OnePlus-Nord-CE-4-DB-709x800-1712035886.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0cx58mtnn&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The OnePlus Nord CE4 has an IP54 rating for dust and water resistance. It has a frame made out of polycarbonate that is supposed to be very durable and is able to sustain drops. The rear panel too is made of polycarbonate.
The phone offers good performance for the casual user, but is not ideal for gaming. Its display can get really bright outdoors and is also HDR10-certified. While it offers a high refresh rate, its touch sampling rate or sensitivity comes up a bit short while playing FPS games
The Nord CE4 comes with OxygenOS 14, which is based on Android 14. It is highly customisable and offers some handy new features like Fluid Cloud. Some of these features are AI-enabled.
Overall camera performance is quite average for its segment and video recording quality isn’t great either. Battery life is excellent and the phone offers fast wired charging.",6.70-inch (1080x2412),Qualcomm Snapdragon 7 Gen 3,16MP,50MP + 8MP,8GB,"128GB, 256GB",5500mAh,Android 14,8.2,7.9,8.7,8.5,8,8.3,,21990,,OnePlus,Nord CE 4,21990,1st April 2024,,Touchscreen,,Polycarbonate,162.50 x 75.30 x 8.40,186,IP54,5500,,Super VOOC,No,"Dark Chrome, Celadon Marble",,120 Hz,6.7,Yes,1080x2412 pixels,,,,2.63 MHz octa-core,Qualcomm Snapdragon 7 Gen 3,8GB,"128GB, 256GB",Yes,microSD,1000,Yes,50MP + 8MP,2,Yes,Yes,16MP,1,No,No,,Android 14,OxygenOS 14,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,802.11 a/b/g/n/ac,Yes,"Yes, v 5.40",Yes,,,Yes,,,,,2,,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
22,Realme GT 6T,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobhfddqg8enhfg2&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/realme-gt-6t-realme-db-660x800-1715579152.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobhfddqg8enhfg2&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The Realme GT 6T is the first T-branded smartphone from Realme. It has a plastic back and a polycarbonate frame, but manages an IP65 rating for dust and water resistance. However, it is a proper smudge and dust magnet.
Performance is handled by a capable mid-range processor which offers enough power for both daily use and high-end gaming. The capable software also helps balance out battery life and also gets some AI-enabled features.
Camera performance is decent for its price tag. The phone struggles a bit in low light and we weren’t impressed by the ultra-wide camera, which produced passable results in daylight. The Realme GT 6T’s video recording capabilities are far from impressive.
Its dual-cell battery easily lasts over a day and can be used for two days with casual (non-gaming) usage thanks to its large capacity. Wired charging is very fast as well.",6.78-inch (2780x1264),Qualcomm Snapdragon 7+ Gen 3,32MP,50MP + 8MP,"6GB, 8GB, 12GB","128GB, 256GB, 512GB",5500mAh,Android 14,8.1,7.8,8.4,8.4,7.9,8.2,,26879,,Realme,GT 6T,26879,22nd May 2024,,,,,162.00 x 75.10 x 8.65,191,IP65,5500,,Super VOOC,,"Fluid Silver, Razor Green",,120 Hz,6.78,Yes,2780x1264 pixels,Gorilla Glass Victus 2,,,octa-core,Qualcomm Snapdragon 7+ Gen 3,"6GB, 8GB, 12GB","128GB, 256GB, 512GB",No,,,,50MP + 8MP,2,,,32MP,1,,,,Android 14,Realme UI 5,,,,,,,,,,,,Yes,802.11 ax,,"Yes, v 5.40",,,,Yes,,,,,2,,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
